wavelength,index,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,ratio,I_dut,P_dut,cycle,PAR
459,621.0,8.151288e-07,1.0658146377480356e-05,0.01142118485828969,0.00402706676810314,1.3255589404397809e-05,8.837059602931872e-06,1.1478868248045911e-05,1.3255589404397809e-05,1.3255589404397809e-05,0.008317583505161624,8.837059602931872e-06,0.9499693188716491,0.0945518469582908,7.743473509286648e-07,3.0,0.362542657250162
462,668.0,8.62004e-07,9.010120382915864e-06,0.009731901827153482,0.0065153610452623485,1.2591451582560419e-05,9.010120382915864e-06,1.0808362822354663e-05,1.3515180574373798e-05,1.3515180574373798e-05,0.008868729851976958,9.903788562768005e-06,0.880948073985984,0.0945518469582908,7.593807635682142e-07,3.0,0.3649122171014702
465,479.0,9.080724e-07,9.211948426959607e-06,0.007239737865797497,0.00964959683345768,1.3817922640439408e-05,9.211948426959607e-06,1.6593014315347883e-05,1.474547414007456e-05,1.3817922640439408e-05,0.00932536721766793,9.211948426959607e-06,0.8179129141981856,0.0945518469582908,7.427241429869404e-07,3.0,0.36728177695277847
468,527.0,9.540064e-07,1.289858228629513e-05,0.004393157237277378,0.013133089748647542,1.3850438162464596e-05,1.017564563728774e-05,1.2994449755610672e-05,1.4830795823439681e-05,1.3890829906955599e-05,0.009591036134564919,9.260553271303734e-06,0.7745587719438272,0.0945518469582908,7.389340256105516e-07,3.0,0.3696513368040867
471,575.0,9.931716e-07,1.4612404502357994e-05,0.0021338158456517204,0.01611591349631692,1.373005188151545e-05,9.153367921010299e-06,1.2819294588772495e-05,1.2804139194314381e-05,1.373005188151545e-05,0.009737133070481987,9.153367921010299e-06,0.752705610957776,0.0945518469582908,7.47565835963912e-07,3.0,0.37202089665539495
474,622.0,1.023562e-06,1.5050632595777895e-05,0.0007422940457894982,0.017597307156986274,1.5916221437882545e-05,9.723132033719586e-06,9.725151804618086e-06,1.414354994934299e-05,1.3255194434174715e-05,0.009710623424849404,9.725151804618086e-06,0.7564544271922377,0.0945518469582908,7.742780064057413e-07,3.0,0.3743904565067033
477,669.0,1.033642e-06,1.0076131378649982e-05,4.445212557948459e-05,0.017880623433892535,1.6787738543642577e-05,8.393869271821288e-06,1.0075661575001371e-05,1.2590803907731933e-05,1.3431700059321977e-05,0.009698310275624204,8.393869271821288e-06,0.7885675115094497,0.0945518469582908,8.150964997316506e-07,3.0,0.3767600163580115
480,480.0,1.035038e-06,1.329501617718125e-05,1.1733597525695997e-05,0.017714651673362506,0.0005006661997171403,8.612872872118723e-06,9.39770196337533e-06,1.1733597525695997e-05,1.1733597525695997e-05,0.009703762271794246,7.822398350463996e-06,0.8450863461311687,0.0945518469582908,8.746964815269126e-07,3.0,0.37912957620931975
483,528.0,1.033546e-06,1.4455099835322929e-05,1.0841324876492197e-05,0.017364998739814178,0.001262652341830408,7.2275499176614645e-06,8.682870683568135e-06,1.011942787271404e-05,1.0841324876492197e-05,0.009702943306618217,7.955666265210034e-06,0.915905274948863,0.0945518469582908,9.466302333022976e-07,3.0,0.381499136060628
486,576.0,1.03967e-06,1.0756596926048728e-05,9.405175548807183e-06,0.016790774809089453,0.0023459937990654815,8.741317978728322e-06,1.0767738054266917e-05,1.0089058547111874e-05,1.075725812245821e-05,0.00975818422487224,8.058663539265247e-06,0.97846912145701,0.0945518469582908,1.0172849915052097e-06,3.0,0.3838686959119362
489,623.0,1.053514e-06,1.2809970279752704e-05,8.955823014051085e-06,0.016085989423241763,0.0038513008774631458,7.0362643680969855e-06,1.0226218015577124e-05,9.607477709814527e-06,9.607477709814527e-06,0.009952084166090064,7.672930653436307e-06,1.013965038899992,0.0945518469582908,1.068226363991686e-06,3.0,0.3862382557632445
492,670.0,1.070708e-06,1.2590028856520231e-05,8.185920318552161e-06,0.015239734204121193,0.005979059149998268,6.2950144282601155e-06,8.799332651386649e-06,9.44252164239017e-06,9.44252164239017e-06,0.01034026819374742,8.807826177178073e-06,1.015078627062163,0.0945518469582908,1.0868528066244744e-06,3.0,0.3886078156145527
495,481.0,1.106154e-06,1.2484963047599488e-05,9.363722285699617e-06,0.013791595500197457,0.008765690854461144,6.242481523799744e-06,7.494856848991828e-06,9.986750723189294e-06,9.363722285699617e-06,0.010711506620752662,9.363722285699617e-06,0.9907915817298898,0.0945518469582908,1.0959680712968445e-06,3.0,0.390977375465861
498,529.0,1.13639e-06,1.0086161027926217e-05,6.9274629668403014e-06,0.011933477796885937,0.012321009071944342,6.300706029661234e-06,1.0075617247272308e-05,9.45105904449185e-06,9.45105904449185e-06,0.011173631922039073,9.45105904449185e-06,0.9555146540162733,0.0945518469582908,1.085837297677553e-06,3.0,0.3933469353171692
501,577.0,1.19403e-06,1.1217515323863755e-05,8.727025570326755e-06,0.009287671078111284,0.01580253602833955,6.229628731503121e-06,7.464463785358978e-06,9.344443097254682e-06,8.721658986325317e-06,0.011365875839235122,8.721658986325317e-06,0.9197762594219459,0.0945518469582908,1.098240447037586e-06,3.0,0.39571649516847746
504,624.0,1.234468e-06,1.1191825771591008e-05,8.707603936520197e-06,0.0066024611232562026,0.019024413270813632,8.095828001791747e-06,9.945427009276446e-06,9.335073152174081e-06,9.335073152174081e-06,0.01161358619583086,9.335073152174081e-06,0.8905621390485488,0.0945518469582908,1.0993704626669838e-06,3.0,0.39808605501978567
507,671.0,1.283536e-06,1.0413792995090539e-05,9.207207694672504e-06,0.004384463161757432,0.021423945716421228,8.596553476665138e-06,9.203050880134957e-06,1.0422828214326976e-05,9.817861912679869e-06,0.011715298236211494,9.207207694672504e-06,0.8684299602129227,0.0945518469582908,1.114661117411854e-06,3.0,0.40045561487109393
510,482.0,1.326656e-06,1.0865207616392279e-05,9.060644034703604e-06,0.002936903625305695,0.02321181021400375,9.060644034703604e-06,9.675681736369312e-06,9.060644034703604e-06,9.658389595030258e-06,0.011829704978879443,7.858055546419191e-06,0.8538116593234865,0.0945518469582908,1.1327143607114592e-06,3.0,0.4028251747224022
513,530.0,1.3664359999999999e-06,1.1783719756738843e-05,8.837437368491303e-06,0.0019478355844343841,0.023935735657784778,0.0001767424343978513,1.119347952523706e-05,9.425104345929745e-06,8.83778981755413e-06,0.011875594121621178,8.83778981755413e-06,0.8498026567368301,0.0945518469582908,1.1612009430608472e-06,3.0,0.4051947345737104
516,578.0,1.393146e-06,1.0901586752883406e-05,8.60190533362306e-06,0.0012087644595471872,0.023945674559116475,0.0006107570259892446,9.154579081173959e-06,9.742250426857852e-06,9.174304072317436e-06,0.011917113325522017,8.60190533362306e-06,0.8564143105432155,0.0945518469582908,1.1931101710760386e-06,3.0,0.4075642944250187
519,625.0,1.401262e-06,1.1178182245688225e-05,8.379764591463392e-06,0.0005192556130379261,0.023521979195070826,0.0012346344709683983,8.960695488956921e-06,8.940688265640128e-06,8.383636684266168e-06,0.0120463084898198,7.826585102892209e-06,0.8735758403162958,0.0945518469582908,1.2241086291532932e-06,3.0,0.40993385427632695
