wavelength,power_1,CI_Low_1,CI_High_1,power_2,CI_Low_2,CI_High_2,power,CI_Low,CI_High,power_4,CI_Low_4,CI_High_4,power_4b,CI_Low_4b,CI_High_4b,power_5b,CI_Low_5b,CI_High_5b,trans,refl,trans_adj,refl_adj,trans_adj_bs,refl_adj_bs
434,9.53E-07,9.50E-07,9.55E-07,4.31E-07,4.30E-07,4.31E-07,5.17E-07,5.17E-07,5.18E-07,3.37E-09,2.92E-09,3.82E-09,3.93E-09,3.57E-09,4.29E-09,5.65E-09,5.36E-09,5.95E-09,45.2165565,54.31237811,45.0222618,54.15034261,44.96291419,53.9093552
435,9.71E-07,9.68E-07,9.74E-07,4.28E-07,4.28E-07,4.29E-07,5.39E-07,5.38E-07,5.39E-07,3.27E-09,3.00E-09,3.54E-09,3.81E-09,3.49E-09,4.13E-09,5.75E-09,5.18E-09,6.33E-09,44.1100367,55.45347521,43.92120132,55.3029659,43.86495093,55.04632277
436,9.90E-07,9.87E-07,9.94E-07,4.27E-07,4.26E-07,4.27E-07,5.59E-07,5.59E-07,5.59E-07,3.31E-09,2.78E-09,3.84E-09,3.66E-09,3.21E-09,4.10E-09,5.70E-09,5.13E-09,6.27E-09,43.11467469,56.48178007,42.92385584,56.33580048,42.8886281,56.09350633
437,1.01E-06,1.01E-06,1.01E-06,4.27E-07,4.26E-07,4.27E-07,5.78E-07,5.78E-07,5.79E-07,3.47E-09,3.10E-09,3.84E-09,3.83E-09,3.50E-09,4.17E-09,5.78E-09,5.44E-09,6.11E-09,42.26163646,57.28806709,42.06252232,57.14077247,42.02639137,56.91138223
438,1.03E-06,1.03E-06,1.03E-06,4.28E-07,4.27E-07,4.28E-07,5.96E-07,5.96E-07,5.96E-07,3.42E-09,3.30E-09,3.53E-09,3.86E-09,3.80E-09,3.93E-09,5.68E-09,5.51E-09,5.86E-09,41.57105496,57.91929722,41.37644632,57.77913949,41.33290366,57.55814307
439,1.05E-06,1.05E-06,1.05E-06,4.31E-07,4.30E-07,4.31E-07,6.12E-07,6.12E-07,6.12E-07,3.34E-09,2.91E-09,3.77E-09,3.85E-09,3.69E-09,4.01E-09,5.68E-09,5.48E-09,5.89E-09,41.08739531,58.37190665,40.89922772,58.23894601,40.85020275,58.01471518
440,1.07E-06,1.07E-06,1.07E-06,4.36E-07,4.35E-07,4.36E-07,6.26E-07,6.26E-07,6.27E-07,3.40E-09,3.11E-09,3.70E-09,3.75E-09,3.24E-09,4.25E-09,5.35E-09,4.62E-09,6.09E-09,40.78337828,58.62791696,40.59417296,58.49572742,40.56193964,58.31254814
441,1.09E-06,1.09E-06,1.09E-06,4.43E-07,4.42E-07,4.43E-07,6.39E-07,6.38E-07,6.39E-07,3.33E-09,3.03E-09,3.64E-09,3.79E-09,3.48E-09,4.11E-09,5.54E-09,4.98E-09,6.10E-09,40.66126558,58.65995205,40.47894541,58.53293343,40.43663637,58.32984964
442,1.11E-06,1.11E-06,1.11E-06,4.52E-07,4.51E-07,4.52E-07,6.49E-07,6.48E-07,6.49E-07,3.43E-09,3.07E-09,3.80E-09,3.71E-09,3.49E-09,3.92E-09,5.56E-09,5.02E-09,6.11E-09,40.74409701,58.50165049,40.56004173,58.37275211,40.53518777,58.17994667
443,1.13E-06,1.13E-06,1.13E-06,4.64E-07,4.63E-07,4.64E-07,6.56E-07,6.56E-07,6.57E-07,3.24E-09,2.85E-09,3.63E-09,3.54E-09,3.36E-09,3.72E-09,5.71E-09,5.50E-09,5.91E-09,41.04127563,58.11995786,40.87162458,57.99944993,40.84509225,57.78055374
444,1.15E-06,1.15E-06,1.15E-06,4.77E-07,4.77E-07,4.78E-07,6.62E-07,6.62E-07,6.62E-07,3.45E-09,3.19E-09,3.70E-09,3.79E-09,3.53E-09,4.04E-09,5.14E-09,4.72E-09,5.57E-09,41.5038604,57.56973934,41.32804271,57.44220972,41.29844915,57.29424341
445,1.17E-06,1.17E-06,1.17E-06,4.93E-07,4.92E-07,4.94E-07,6.66E-07,6.65E-07,6.66E-07,3.38E-09,3.10E-09,3.66E-09,3.79E-09,3.72E-09,3.86E-09,5.19E-09,4.58E-09,5.79E-09,42.14536656,56.86212561,41.97788922,56.73725028,41.942536,56.58240438
446,1.19E-06,1.19E-06,1.19E-06,5.11E-07,5.11E-07,5.12E-07,6.67E-07,6.67E-07,6.67E-07,3.36E-09,2.95E-09,3.77E-09,3.84E-09,3.51E-09,4.17E-09,5.72E-09,5.52E-09,5.93E-09,42.9015355,55.96503756,42.74006205,55.84050747,42.69990111,55.64178047
447,1.21E-06,1.21E-06,1.22E-06,5.31E-07,5.30E-07,5.31E-07,6.67E-07,6.67E-07,6.68E-07,3.47E-09,3.27E-09,3.66E-09,3.49E-09,3.21E-09,3.78E-09,5.53E-09,5.25E-09,5.81E-09,43.76946276,55.0238866,43.60822425,54.89491963,43.60618789,54.72453556
448,1.23E-06,1.23E-06,1.24E-06,5.52E-07,5.52E-07,5.53E-07,6.67E-07,6.66E-07,6.67E-07,3.40E-09,3.22E-09,3.58E-09,3.72E-09,3.37E-09,4.07E-09,5.51E-09,5.30E-09,5.73E-09,44.72734049,54.00434354,44.57461111,53.87724836,44.54866961,53.70563647
449,1.26E-06,1.25E-06,1.26E-06,5.74E-07,5.73E-07,5.74E-07,6.65E-07,6.65E-07,6.65E-07,3.36E-09,2.99E-09,3.73E-09,3.52E-09,3.03E-09,4.01E-09,5.29E-09,4.69E-09,5.88E-09,45.70071287,52.97916975,45.55499503,52.85298441,45.54194894,52.69904519
450,1.28E-06,1.27E-06,1.28E-06,5.95E-07,5.94E-07,5.96E-07,6.64E-07,6.64E-07,6.64E-07,3.40E-09,3.05E-09,3.75E-09,3.75E-09,3.36E-09,4.14E-09,5.56E-09,5.38E-09,5.73E-09,46.59980706,52.01467908,46.45720481,51.88653694,46.42969554,51.71700158
